Game Name,System Full,Units(m),Publisher,Developer,Image_URL,Release Date
Andre Agassi Tennis,Sega Genesis,0.0,TecMagik,TecMagik,https://www.vgchartz.com/games/boxart/6920333ccc.jpg,01/01/1992
Chibi Maruko-Chan: Waku Waku Shopping,Sega Genesis,0.0,Namco,Namco,https://www.vgchartz.com/games/boxart/full_3504500JapanFrontccc.jpg,14/01/1992
Turrican,Sega Genesis,0.0,Accolade,The Code Monkeys,https://www.vgchartz.com/games/boxart/full_6953350AmericaFrontccc.jpg,01/01/1991
David Robinson's Supreme Court,Sega Genesis,0.0,Sega,Sega,https://www.vgchartz.com/games/boxart/2801824ccc.jpg,01/01/1992
Deadly Moves,Sega Genesis,0.0,Kaneko Co. Ltd,Kaneko,https://www.vgchartz.com/games/boxart/4633374ccc.jpg,14/08/1992
Sol-Deace,Sega Genesis,0.0,Renovation,Wolf Team,https://www.vgchartz.com/games/boxart/full_5413020AmericaFrontccc.jpg,01/01/1992
Ghostbusters,Sega Genesis,0.0,Sega,Compile,https://www.vgchartz.com/games/boxart/873664ccc.jpg,29/06/1990
Sagaia,Sega Genesis,0.0,Taito,Taito Corporation,https://www.vgchartz.com/games/boxart/338209ccc.jpg,01/01/1991
Wardner,Sega Genesis,0.0,"Mentrix Software, Inc.",Toaplan,https://www.vgchartz.com/games/boxart/full_3931912AmericaFrontccc.jpg,25/04/1991
Jack Nicklaus' Power Challenge Golf,Sega Genesis,0.0,Accolade,Unknown,https://www.vgchartz.com/games/boxart/5213273ccc.jpg,01/01/1993
The Death and Return of Superman,Sega Genesis,0.0,Sunsoft,Blizzard Entertainment,https://www.vgchartz.com/games/boxart/1397255ccc.jpg,01/01/1995
Light Crusader,Sega Genesis,0.0,Sega,"Treasure Co., Ltd.",https://www.vgchartz.com/games/boxart/full_9446645AmericaFrontccc.jpg,25/05/1995
Aworg (MN),Sega Genesis,0.0,Sega,Sega,https://www.vgchartz.com/games/boxart/default.jpg,01/01/1991
Rolling Thunder 2,Sega Genesis,0.0,Namco,Namco,https://www.vgchartz.com/games/boxart/9220753ccc.jpg,18/11/1991
Body Count,Sega Genesis,0.0,Sega,Probe Entertainment Limited,https://www.vgchartz.com/games/boxart/full_body-count_771PALFront.jpg,01/01/1994
Ballz 3D,Sega Genesis,0.0,Accolade,PF.Magic,https://www.vgchartz.com/games/boxart/6661020ccc.jpg,01/01/1994
College Football USA 96,Sega Genesis,0.0,EA Sports,High Score Productions,https://www.vgchartz.com/games/boxart/full_college-football-usa-96_9AmericaFront.jpg,01/01/1995
Fatal Labyrinth,Sega Genesis,0.0,Sega,Sega Enterprises,https://www.vgchartz.com/games/boxart/full_6482124AmericaFrontccc.jpg,01/01/1991
Dungeons & Dragons: Warriors of the Eternal Sun,Sega Genesis,0.0,Sega,Sega,https://www.vgchartz.com/games/boxart/4271574ccc.jpg,01/01/1992
Doom Troopers,Sega Genesis,0.0,Playmates,Adrenalin Entertainment,https://www.vgchartz.com/games/boxart/9048540ccc.jpg,01/01/1995
Powerball,Sega Genesis,0.0,Namco,Namco,https://www.vgchartz.com/games/boxart/full_7127026AmericaFrontccc.jpg,01/01/1991
Bubsy II,Sega Genesis,0.0,Accolade,Accolade,https://www.vgchartz.com/games/boxart/full_bubsy-ii_164AmericaFront.jpg,01/01/1994
Wimbledon Championship Tennis,Sega Genesis,0.0,Sega,SIMS,https://www.vgchartz.com/games/boxart/full_wimbledon-championship-tennis_2AmericaFront.jpg,01/01/1993
Mega Panel,Sega Genesis,0.0,Namco,Namco,https://www.vgchartz.com/games/boxart/full_5921540JapanFrontccc.jpg,22/11/1990
Strider Returns: Journey From Darkness,Sega Genesis,0.0,U.S. Gold,Tiertex Design Studios,https://www.vgchartz.com/games/boxart/full_strider-returns-journey-from-darkness_9AmericaFront.jpg,01/01/1990
Madden NFL 98,Sega Genesis,0.0,EA Sports,Tiertex Design Studios,https://www.vgchartz.com/games/boxart/full_9997815AmericaFrontccc.jpg,01/01/1997
Final Zone,Sega Genesis,0.0,Renovation,Wolf Team,https://www.vgchartz.com/games/boxart/full_final-zone_840AmericaFront.jpg,01/01/1990
Jeopardy!,Sega Genesis,0.0,GameTek,Park Place Productions,https://www.vgchartz.com/games/boxart/full_6207540AmericaFrontccc.jpg,01/12/1992
Sonic & Knuckles,Sega Genesis,1.82,Sega,Sonic Team,https://www.vgchartz.com/games/boxart/6219359ccc.jpg,17/10/1994
Battle Squadron,Sega Genesis,0.0,Electronic Arts,"Innerprise Software, Inc.",https://www.vgchartz.com/games/boxart/full_battle-squadron_649AmericaFront.jpg,01/01/1990
Whip Rush,Sega Genesis,0.0,Renovation,Vic Tokai,https://www.vgchartz.com/games/boxart/full_6698990AmericaFrontccc.jpg,01/01/1990
Joe Montana Football,Sega Genesis,0.0,Sega,Park Place Productions,https://www.vgchartz.com/games/boxart/9130204ccc.jpg,01/01/1990
X-Perts,Sega Genesis,0.0,Sega,Abalone,https://www.vgchartz.com/games/boxart/full_769489AmericaFrontccc.jpg,01/01/1996
Flicky,Sega Genesis,0.0,Sega,Sega,https://www.vgchartz.com/games/boxart/922144ccc.jpg,01/01/1991
Dyna Brothers 2,Sega Genesis,0.0,CRI,CRI,https://www.vgchartz.com/games/boxart/full_7683024JapanFrontccc.jpg,03/12/1993
Marko,Sega Genesis,0.0,Domark Software,The Kremlin,https://www.vgchartz.com/games/boxart/full_markos-magic-football_3AmericaFront.jpg,01/01/1994
Spiritual Warfare,Sega Genesis,0.0,Wisdom Tree,Wisdom Tree,https://www.vgchartz.com/games/boxart/7613024ccc.jpg,01/01/1994
Krusty's Super Fun House,Sega Genesis,0.0,Flying Edge,Audiogenic Software Ltd.,https://www.vgchartz.com/games/boxart/full_3305870AmericaFrontccc.jpg,01/01/1993
Tecmo Super Baseball,Sega Genesis,0.0,Tecmo,Sculptured Software,https://www.vgchartz.com/games/boxart/full_tecmo-super-baseball_2AmericaFront.jpg,01/01/1994
Hard Drivin',Sega Genesis,0.0,Tengen,Sterling Silver Software,https://www.vgchartz.com/games/boxart/full_5706637AmericaFrontccc.jpg,01/01/1991
Saint Sword,Sega Genesis,0.0,Unknown,Taito,https://www.vgchartz.com/games/boxart/full_saint-sword_922AmericaFront.jpg,27/06/1991
The Immortal,Sega Genesis,0.0,Electronic Arts,Sandcastle,https://www.vgchartz.com/games/boxart/full_9869424AmericaFrontccc.jpg,09/08/1993
Ecco: The Tides of Time,Sega Genesis,0.07,Sega,Novotrade International,https://www.vgchartz.com/games/boxart/4518725ccc.jpg,25/08/1994
Lightening Force: Quest for the Darkstar,Sega Genesis,0.0,Sega,"TechnoSoft Co., Ltd.",https://www.vgchartz.com/games/boxart/1513287ccc.jpg,01/01/1992
The Lost World: Jurassic Park,Sega Genesis,0.0,Sega,Appaloosa Interactive,https://www.vgchartz.com/games/boxart/full_2515076AmericaFrontccc.jpg,01/01/1997
Twin Cobra,Sega Genesis,0.0,Sega,GRC,https://www.vgchartz.com/games/boxart/957790ccc.gif,01/01/1991
Home Alone,Sega Genesis,0.0,Sega,"Brian A. Rice, Inc",https://www.vgchartz.com/games/boxart/8040191ccc.jpg,01/01/1992
Harukanaru Augusta,Sega Genesis,0.0,T&E Soft,Tikipod,https://www.vgchartz.com/games/boxart/full_6670383JapanFrontccc.jpg,17/12/1993
Marble Madness,Sega Genesis,0.0,Electronic Arts,Atari,https://www.vgchartz.com/games/boxart/full_marble-madness_7AmericaFront.jpg,01/01/1993
The Adventures of Mighty Max,Sega Genesis,0.0,Ocean,WJS Design,https://www.vgchartz.com/games/boxart/6888698ccc.jpg,01/01/1994
Art of Fighting,Sega Genesis,0.0,Sega,SNK Corporation,https://www.vgchartz.com/games/boxart/6863026ccc.jpg,13/01/1994
Barney's Hide and Seek,Sega Genesis,0.0,Sega,Realtime Associates,https://www.vgchartz.com/games/boxart/full_barneys-hide-and-seek_850AmericaFront.jpg,01/01/1993
Sub-Terrania,Sega Genesis,0.0,Sega,Zyrinx,https://www.vgchartz.com/games/boxart/full_sub-terrania_85AmericaFront.jpg,01/01/1993
Bugs Bunny in Double Trouble,Sega Genesis,0.0,Sega,Atod AB,https://www.vgchartz.com/games/boxart/6305103ccc.jpg,01/01/1996
Viewpoint,Sega Genesis,0.0,Sammy Corporation,Nexus Interact,https://www.vgchartz.com/games/boxart/full_6990405AmericaFrontccc.jpg,01/01/1994
Bulls versus Blazers and the NBA Playoffs,Sega Genesis,0.0,EA Sports,Electronic Arts,https://www.vgchartz.com/games/boxart/full_9337310AmericaFrontccc.jpg,01/01/1993
CrossFire,Sega Genesis,0.0,Kyugo Boueki,AI,https://www.vgchartz.com/games/boxart/2258690ccc.jpg,01/01/1991
Brett Hull Hockey 95,Sega Genesis,0.0,Accolade,Radical Entertainment,https://www.vgchartz.com/games/boxart/4265446ccc.gif,10/09/1994
Pit-Fighter,Sega Genesis,0.0,Tengen,Sterling Silver Software,https://www.vgchartz.com/games/boxart/full_6896041AmericaFrontccc.jpg,01/01/1991
Super Street Fighter II,Sega Genesis,0.15,Capcom,Capcom,https://www.vgchartz.com/games/boxart/full_8025940AmericaFrontccc.jpg,01/01/1994
ESPN National Hockey Night,Sega Genesis,0.0,Sony Imagesoft,Park Place Productions,https://www.vgchartz.com/games/boxart/9674224ccc.jpg,01/08/1994
Jerry Glanville's Pigskin Footbrawl,Sega Genesis,0.0,Razorsoft,Developer Resources,https://www.vgchartz.com/games/boxart/full_4374840AmericaFrontccc.jpg,01/01/1992
Batman Returns,Sega Genesis,0.0,Sega,Konami,https://www.vgchartz.com/games/boxart/6682345ccc.jpg,10/10/1992
Mighty Morphin Power Rangers,Sega Genesis,0.0,Sega,Bandai,https://www.vgchartz.com/games/boxart/7272479ccc.jpg,01/01/1994
Mega 6 Vol. 3,Sega Genesis,0.0,Sega,Sega,https://www.vgchartz.com/games/boxart/full_5079624PALFrontccc.jpg,01/01/1995
Ms. Pac Man,Sega Genesis,0.0,Tengen,Midway/Namco,https://www.vgchartz.com/games/boxart/4230336ccc.jpg,01/01/1991
Air Diver,Sega Genesis,0.0,Seismic,Asmik Corporation of America,https://www.vgchartz.com/games/boxart/2953399ccc.jpg,01/01/1990
